Events,GDP_Capita,Unemployment,Life_Expectancy,Population,Cell_Phone,Colloge,Hischool,Transparency
72377,16782,24,73,1318683096,747214000,23,55,30
176947,59928,9,78,301139947,274283000,39,87,37
60724,7169,23,65,1110396331,525090000,18,45,26
28989,41959,5,83,127467972,116295000,33,82,37
50838,15662,9,72,190010647,169386000,11,37,30
14141,12279,6,71,223547000,163677000,8,28,28
132591,44896,8,79,60776238,76481100,32,85,37
86499,44256,9,81,61083916,57918000,24,61,36
112473,40981,8,81,58147733,90032900,13,45,35
31082,19432,5,76,108700891,83193600,15,31,31
20396,27879,13,72,71158647,62779600,11,28,32
74926,39037,18,81,40448191,51052700,25,43,36
2479,53693,5,73,27601038,44864400,41,50,34
108221,46723,8,81,33390141,23811900,17,30,37
13899,17917,1,71,65068149,65952300,15,20,31
76085,49654,6,81,20434176,22200000,41,71,38
40874,29931,8,76,38518241,44806600,22,80,35
1712,5888,8,47,135031164,74518300,22,22,21
2395,5249,15,65,169270617,94342000,7,23,22
55721,54503,4,80,16570613,20149000,32,66,37
12422,30004,14,74,24821286,30144000,16,49,32
29778,20843,9,75,40301927,52482800,18,28,33
10258,8340,14,72,91077287,75586600,14,19,28
14073,13464,24,49,43997828,46436000,12,57,28
23675,14507,12,73,44227550,42159600,15,38,30
420,17415,22,60,27499638,9258600,22,28,28
8808,6858,22,74,85262356,98224000,12,26,28
1662,3998,26,64,150448339,51359300,15,20,25
448,15266,23,72,33333216,42159600,20,18,30
24697,49412,8,79,10392226,11775200,31,62,37
26584,66300,4,82,7554661,9322580,34,83,38
25785,96553,6,80,4553009,6884800,41,63,37
12538,26596,7,72,22276056,25100000,16,64,33
21646,51405,8,81,9031088,10440000,33,77,37
12371,53879,15,80,8199783,11434000,26,76,37
11437,24249,11,79,16284741,16450200,27,30,34
3655,13772,14,71,28674757,24700400,19,47,30
22008,77596,13,79,4109086,4704500,23,22,38
14604,38868,10,81,6426679,9022000,43,77,36
25778,32554,9,78,10642836,11795100,12,24,34
123,6172,14,62,47761980,2704500,15,18,23
8708,62183,3,80,4627926,5354550,33,75,38
16939,54356,6,78,5468120,6833680,58,75,37
10248,28580,10,79,10706290,13295100,21,26,35
1123,8261,17,71,33757175,5618410,12,17,27
308,72622,16,78,2505559,2618410,8,15,32
15691,28799,10,73,9956108,11792500,19,75,34
1517,12879,6,72,20378239,16305400,30,26,31
4369,46349,8,79,5238460,7700000,51,70,37
58,1897,23,53,76511887,4051700,18,18,19
247,4880,16,59,42292929,5051700,11,12,20
67,6651,16,43,12420476,2351750,13,15,23
6108,40439,6,80,4115771,4700000,13,15,37
2996,11501,5,75,13755680,13241800,23,34,30
453,41068,8,76,3204897,7629820,10,13,33
674,16452,5,72,9319622,8629820,12,17,30
66,3090,17,53,38139640,2139640,10,12,21
830,3258,10,54,35610177,19364600,18,27,23
7724,20948,7,73,7322858,10454800,45,68,33
859,8167,13,70,12572928,17307500,13,12,26
852,12047,13,74,10276158,203407603,11,14,30
189,4457,23,60,22873338,15108900,16,18,24
14,19057,31,74,6036914,2139640,13,15,28
5973,16433,16,74,10150265,9912340,15,63,32
5001,26296,9,76,4493312,4675020,17,25,33
93,24472,7,76,3242173,6066680,24,26,32
165,8541,13,78,11416987,621156,10,12,31
51,3645,15,50,17696293,2139640,12,12,23
1192,9130,13,73,6053193,6014370,10,10,29
305,12972,5,72,6667147,5618640,20,27,29
2499,12814,6,72,3921278,2390320,23,33,29
3203,16976,8,79,4133884,1950320,21,37,32
226,7480,13,66,9119152,6464390,23,38,28
38,1945,14,52,29170398,9383730,11,12,21
529,2867,12,64,28901790,5597880,13,12,23
1478,22728,8,76,3447496,4111560,15,28,32
2921,36153,6,78,2009245,2100440,21,77,36
853,47660,14,76,708573,1401970,19,22,34
11,1935,20,44,31889923,101470,9,11,20
17,4090,16,42,11746035,401930,9,9,24
209,4020,12,60,14131858,6268000,2,6,23
36,3556,13,63,12267493,6901490,11,12,21
540,7973,18,72,6939688,2401771,12,14,27
293,4917,13,70,7483763,8390760,15,20,25
829,13735,24,75,4552198,3257240,12,12,31
128,31429,9,70,1056608,1801930,10,10,32
26,2222,13,54,12031795,6401270,16,16,17
70,2826,16,43,12311143,4464923,11,12,23
10,1560,13,59,19167654,6283800,13,15,21
394,12787,15,67,2874127,2249020,37,46,29
13,17785,10,51,1639131,5464423,13,14,29
147,12930,8,76,3600523,1364943,10,13,32
176,1295,18,42,19951656,2454953,13,16,18
2,17762,8,57,1454867,1364943,16,22,28
324,5687,8,73,5675356,3344560,12,20,26
5,1866,14,52,14326203,7064933,13,16,17
1,2435,16,56,9947814,446492,18,23,19
199,22355,7,73,1250882,1086750,16,23,32
61,11104,12,53,2055080,1631580,8,12,26
191,8971,11,73,2780132,2956060,17,20,29
15,2277,14,57,8078314,3634923,21,26,21
25,2082,13,46,8860588,1356960,11,13,21
29,1270,20,48,13327079,3006265,23,23,19
9,123,8,48,9118773,2926060,43,25,28
18,1819,10,61,8502814,2564362,24,26,20
1592,55322,7,82,301931,34339715,35,45,38
2,4067,9,64,3270065,5106225,10,13,21
3,1683,13,58,5701579,5006598,12,13,21
162,19355,14,75,684736,13006265,15,15,33
4,10526,10,40,1133066,2631890,12,14,24
6,1544,18,43,6144562,3631285,12,12,18
2,738,24,50,8390505,2341580,12,15,17
2,2103,16,58,4906585,3006265,24,18,17
2,3131,17,43,2012649,1111580,13,15,21
5,1293,13,46,3193942,3654580,13,13,19
