Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleCondition,SalePrice,house_age,garage_age,renevated_age,Street_Pave,LotShape_Reg,LotShape_IR1,LotShape_IR2,LandContour_Lvl,LandContour_HLS,LandContour_Bnk,Utilities_AllPub,LandSlope_Gtl,LandSlope_Mod,Condition2_Norm,RoofStyle_Hip,RoofStyle_Gable,RoofMatl_CompShg,ExterQual_Ex,ExterQual_TA,ExterQual_Gd,ExterCond_TA,ExterCond_Gd,ExterCond_rare,Heating_GasA,Heating_rare,CentralAir_Y,KitchenQual_Gd,KitchenQual_TA,KitchenQual_Ex,PavedDrive_Y,PavedDrive_P,SaleType_New,SaleType_WD,SaleType_COD
619,2.1912987626715945,3,-0.0,10.858966396612047,1,21,2,4,4,5.7245954517991136,5,2007,2007,9,9,0,0,4,0,0,0,0,48,0,0,69.98640995312545,1822,4,0,5.648523931561363,0,0,7.6699966700832665,0,0,2,0,3,1,2.5284593244581255,4,1,0,0,0,0,3,270.9185041938647,0,0,0,108,0,0,260,0,1,0,4.96044842355471,2007,4,8.090350700612554,0,2007,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
871,2.1912987626715945,3,-0.0,10.102310195633851,1,8,5,4,4,3.575683699627382,5,1962,1962,3,3,0,0,2,0,0,0,0,0,0,0,50.098538232218786,894,3,0,5.244875091640012,0,0,6.926401777454079,0,0,1,0,2,1,1.9266282806280208,4,0,1,0,0,0,1,127.84165049337814,0,0,0,0,0,0,0,0,1,0,5.536868912037229,2009,3,7.674948991501446,47,2009,47,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
93,2.3766582159439187,3,-0.0,11.037079505637886,1,16,2,4,4,3.575683699627382,7,1921,2006,2,2,0,0,1,0,0,0,0,713,0,0,21.348605105057768,876,4,0,5.288499714898932,0,0,7.004611885121169,1,0,1,0,2,1,1.9266282806280208,4,0,1,0,0,0,2,168.47950502090484,0,0,0,0,44,0,0,0,1,0,5.536868912037229,2009,3,7.836625686562886,88,2009,3,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
818,2.1912987626715945,3,0.12526717090386522,11.027517746713851,4,9,2,4,4,5.216462532231845,5,2002,2002,9,9,0,0,4,0,0,0,0,1218,0,0,31.472023229623044,1568,4,0,5.605008121074895,0,0,7.587615497894467,1,0,2,0,3,1,2.262532270964686,4,2,0,0,0,0,3,294.3344507825777,0,0,150,59,0,0,0,0,1,0,4.96044842355471,2008,3,8.033437467732163,6,2008,6,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0
303,2.1912987626715945,3,-0.0,11.071160339652515,2,15,2,4,4,4.691017774856353,5,2001,2002,10,10,0,0,4,0,0,0,0,0,0,0,65.35948371085826,1541,4,0,5.554206147049298,0,0,7.492139262093665,0,0,2,0,3,1,2.1056558032976715,4,1,0,0,0,0,3,290.4158732724877,0,0,468,81,0,0,0,0,1,0,0.9064889818907199,2006,3,7.925673672808061,5,2006,4,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0
1455,2.1912987626715945,4,-0.0,10.270249719167625,1,18,2,4,4,4.691017774856353,5,2004,2005,10,10,0,0,4,0,0,0,0,410,0,0,47.757501577727425,1221,4,0,5.423595278908929,0,0,7.250050424506391,1,0,2,0,2,1,2.1056558032976715,4,0,1,0,0,0,2,158.2313840348364,0,0,0,113,0,0,0,0,1,0,6.642849564657093,2009,3,7.885453330498054,5,2009,4,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0
41,2.1912987626715945,3,-0.0,10.459671028088461,1,8,2,4,4,4.145378141870959,5,1965,1965,2,2,0,0,2,0,0,0,0,643,0,0,35.48661159659774,1088,4,0,5.469313152907937,0,0,7.334243001519508,0,0,2,0,3,1,2.1056558032976715,4,1,0,0,0,0,2,171.01884976582272,0,0,0,138,0,0,0,0,0,0,7.697928426262871,2006,0,7.82802540886529,41,2006,41,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
960,3.000908328501574,4,-0.0,8.884598548986597,3,18,2,1,6,4.691017774856353,5,1999,1999,3,3,0,0,4,0,0,0,0,604,0,0,15.842770963695738,696,4,0,5.098128626960361,720,0,7.404112902922616,1,0,2,1,3,1,2.1056558032976715,4,0,1,0,0,0,2,184.8348505375304,0,0,0,44,0,0,0,0,1,0,3.7473834983925416,2010,3,7.815381261377261,11,2010,11,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0
76,3.03693751523262,1,-0.0,8.281503455825716,1,1,2,1,3,2.976538372217317,5,1973,1973,9,9,0,0,2,0,0,0,0,462,0,0,0.0,462,2,0,4.9305329086558425,462,0,7.030133096278246,1,0,1,0,2,1,1.9266282806280208,4,0,1,0,0,0,1,124.10131564422858,0,0,120,101,0,0,0,0,0,0,7.176056641871176,2009,3,7.598614245160399,36,2009,36,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
1390,2.590721978337994,1,-0.0,9.977529477987147,1,4,2,4,1,4.145378141870959,6,1941,1950,2,2,0,0,1,0,0,0,0,375,0,0,31.91972561206626,735,4,0,5.2283948805523455,349,0,7.247493711387201,0,1,1,0,3,1,2.1056558032976715,4,1,0,0,0,0,2,171.01884976582272,0,0,0,0,0,0,0,0,1,0,2.4230922351815942,2007,3,7.7478655713457645,66,2007,57,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
