,completedHighSchool,Post_highschool,GDP,NumberEvents,gdpPercap,lifeExp,cell_phone
0,,17.820520401001,8225.13717626412,412,12779.379640000001,75.32,52482780.0
1,70.8557434082031,40.5558280944824,42772.3591664498,1460,34435.367439999995,81.235,22200000.0
2,75.810188293457,25.622549057006804,47963.1794023217,74,36126.4927,79.829,11434000.0
3,,,19355.904672026398,13,29796.048339999998,75.635,1401974.0
4,,,702.264410019296,4,1391.253792,64.062,51359315.0
5,61.692901611328104,30.6177597045898,44583.544807081395,223,33692.60508,79.441,11775240.0
6,38.442600250244105,22.769590377807607,1754.2110609473498,3,3822.1370840000004,65.554,6464390.0
7,,,4714.7024950516,7,7446.298803,74.852,3257239.0
8,37.106880187988295,10.5968704223633,8597.915351516229,563,9065.800825,72.39,169385584.0
9,68.2597579956055,,6984.96597556864,232,10680.79282,73.005,10454822.0
10,6.2635197639465305,2.0420401096344,738.0547836175059,27,1713.7786859999999,59.723,6268000.0
11,,,40773.061528975,3662,36319.235010000004,80.653,23811900.0
12,,,10208.9067622861,87,13171.63885,78.553,16450223.0
13,,,3832.235951567271,379,4959.1148539999995,72.961,747214000.0
14,37.65163040161129,14.722049713134801,5193.24145075546,134,7006.580419,72.889,42159613.0
15,36.546970367431605,20.9174499511719,6760.47751541355,17,9645.06142,78.782,1950318.0
16,,,1210.29542592526,10,1544.750112,48.328,13184308.0
17,,,14555.996448113501,90,14619.222719999998,75.748,4675017.0
18,,,5529.67036020975,3,8948.102923,78.273,621156.0
19,87.2494125366211,15.717679977417,19741.5976279826,143,22833.30851,76.486,13062617.0
20,74.9776077270508,,58163.2768762815,400,35278.41874,78.332,6833683.0
21,,,5039.402595916889,23,6025.374752000001,72.235,8629815.0
22,34.035888671875,11.0747900009155,4231.615797678471,4,6873.262326000001,74.994,13241758.0
23,,,2329.2394799677104,24,5581.180998,71.33800000000001,55352233.0
24,,,380.569047862885,5,690.8055759,52.946999999999996,4051703.0
25,69.63253784179689,,47293.9928335042,79,33207.0844,79.313,7700000.0
26,61.256988525390604,24.2047004699707,41575.418748373704,970,30470.0167,80.657,57918000.0
27,80.6187515258789,29.8395595550537,41485.9016495139,1327,32170.37442,79.406,105000000.0
28,,,1074.7553803758599,1,1327.60891,60.022,15108916.0
29,,,29710.970295028397,176,27538.41188,79.483,13295093.0
30,,,2695.22126447199,1,5186.050003,70.259,17307459.0
31,,,1789.70665110755,2,3548.3308460000003,70.19800000000001,8390755.0
32,74.5380096435547,18.7380695343018,13046.481008184799,190,18008.94444,73.33800000000001,11792475.0
33,,,41333.418526258,51,36180.789189999996,81.757,339715.0
34,,,1101.96084002239,547,2452.210407,64.69800000000001,525090000.0
35,27.8447093963623,7.502079963684079,2261.24722374577,157,3540.6515640000002,70.65,163676961.0
36,,,5709.94798012865,10,11605.71449,70.964,52555000.0
37,,,52105.1524837739,352,40675.99635,78.885,4704497.0
38,77.3414306640625,42.8012809753418,27715.636808319,205,25523.2771,80.745,9022000.0
39,44.7269515991211,12.549189567565902,37079.7586704546,2258,28569.7197,80.546,90032886.0
40,,,4316.231052658421,4,7320.880262000001,72.567,2956061.0
41,,,40855.1756354596,186,31656.06806,82.603,116295378.0
42,,,3504.0024603743395,6,4519.461171,72.535,6014366.0
43,27.0562591552734,7.72847986221313,905.1317861284848,3,1463.249282,54.11,19364559.0
44,66.0361862182617,28.006460189819304,19143.8516053026,190,1593.06548,67.297,47944222.0
45,66.0361862182617,28.006460189819304,19143.8516053026,190,23348.139730000003,78.623,47944222.0
46,,,37561.67266643,5,47306.98978,77.58800000000001,2618413.0
47,,,7354.953604784921,27,10461.05868,71.993,2390317.0
48,,,467.539754891148,1,1044.770126,59.443000000000005,6283799.0
49,49.4180183410645,15.611590385437,7292.494447279079,127,12451.6558,74.241,30144000.0
50,,,7318.12640972422,10,10956.99112,72.801,1086748.0
51,31.350269317627,15.478790283203098,8002.97210649807,380,11977.57496,76.195,83193574.0
52,,,1714.36054504148,1,3095.7722710000003,66.803,2249023.0
53,,,4265.25874549596,2,4811.060429,52.906000000000006,1631576.0
54,,,478.173181617538,1,1091.359778,63.785,5597880.0
55,66.3446197509766,31.696510314941396,52514.02711653232,903,36797.93332,79.762,20149000.0
56,,,28205.732843583,77,25185.00911,80.204,4700000.0
57,,,1444.37252717198,3,2749.320965,72.899,3344563.0
58,,,1891.3353704642104,17,2013.9773050000001,46.858999999999995,74518264.0
59,74.89190673828129,33.4039497375488,79977.6970817492,327,49357.19017,80.196,5354554.0
60,23.299619674682607,6.671460151672361,957.995680750104,6,2605.94758,65.483,94342030.0
61,,,7576.140466554821,4,9809.185636,75.53699999999999,6066683.0
62,27.1444206237793,9.80848026275635,3624.57105807169,18,4172.838464,71.752,5618639.0
63,47.002590179443395,18.7525596618652,4196.312793018889,38,7408.905561,71.421,24700361.0
64,,,1905.89471052597,89,3190.481016,71.688,75586646.0
65,79.9086532592773,22.100370407104503,11527.534422646399,629,15389.924680000002,75.563,44806632.0
66,24.055030822753896,12.4961700439453,23059.7974457294,468,20509.64777,78.098,11795080.0
67,64.22727203369139,15.540060043334998,8548.11867218639,170,10808.47561,72.476,25100000.0
68,,,16113.1424853358,25,21654.83194,72.777,44864355.0
69,,,1317.2356874274499,1,1712.4721359999999,63.062,6901492.0
70,62.9912300109863,15.359990119934098,6169.11419477823,86,9786.534714,74.002,9912339.0
71,63.178131103515604,40.7291488647461,38927.2068817715,278,47143.179639999995,79.972,6884800.0
72,,,16531.6705140706,12,18678.31435,74.663,5497719.0
73,77.3182067871094,20.7471599578857,24694.230555783506,45,25768.25759,77.926,2100435.0
74,57.094451904296896,12.249420166015598,5862.7973402116695,305,9269.657808,49.339,46436000.0
75,43.3348388671875,24.93217086791989,32042.4740786617,1334,28821.0637,80.941,51052693.0
76,,29.6438293457031,2090.4018261396,6,3970.0954070000003,72.396,16305417.0
77,76.9570770263672,33.0457916259766,46946.9602719954,367,33859.74835,80.884,10440000.0
78,82.7161178588867,33.6849899291992,69927.4687701171,413,37506.419069999996,81.70100000000001,9322580.0
79,,,4213.00633872183,132,7458.3963269999995,70.616,65952313.0
80,27.7024993896484,10.711310386657699,9038.5201501726,227,8458.276384,71.777,62779554.0
81,,,793.48328551099,1,1056.3801210000001,51.542,9383734.0
82,84.6721725463867,31.5697002410889,38713.1374283353,5676,33203.26128,79.425,76481053.0
83,86.7090835571289,38.6207695007324,47099.980471134295,73169,42951.65309,78.242,274283000.0
84,27.7509708404541,14.9131298065186,9451.932448699341,19,10611.46299,76.384,4111560.0
85,42.98770904541021,15.9215002059937,11765.1001763251,26,11415.805690000001,73.747,28123570.0
86,25.6799507141113,12.0781002044678,1217.26855530412,55,2441.576404,74.249,98223980.0
